timestamp,relative_time,sample,co_m,eth_m,voc_m,no2,eth_gm,voc_gm,co_gm
4830123,0.0,Level_6_DONE,2.59,1.71,0.7366667,0.97,0.8999999,0.34,0.04
4830373,0.25,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4830641,0.518,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4830900,0.777,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4831161,1.038,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.036666665
4831414,1.291,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.036666665
4831676,1.553,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.036666665
4831940,1.817,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4832202,2.079,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4832455,2.332,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4832706,2.583,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4832958,2.835,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4833222,3.099,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4833474,3.351,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4833726,3.603,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4833986,3.863,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4834241,4.118,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4834497,4.374,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4834763,4.64,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4835018,4.895,Level_6_DONE,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4835659,5.536,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4835924,5.801,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4836178,6.055,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4836441,6.318,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4836698,6.575,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4836957,6.834,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4837214,7.091,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.34,0.04
4837467,7.344,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.34333333,0.04
4837726,7.603,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.34666666,0.04
4837973,7.85,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.35,0.04
4838235,8.112,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.35,0.04
4838493,8.37,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.35,0.04
4838747,8.624,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.35,0.04
4838997,8.874,Level_1_PRE-COND,2.57,1.69,0.73,0.97,0.8999999,0.35,0.04
4839251,9.128,Level_1_PRE-COND,2.57,1.69,0.73,0.97333336,0.8999999,0.35,0.04
4839511,9.388,Level_1_PRE-COND,2.57,1.69,0.73,0.97333336,0.8999999,0.35333332,0.04
4839765,9.642,Level_1_PRE-COND,2.57,1.69,0.73,0.9766667,0.8999999,0.35666668,0.04
4840015,9.892,Level_1_PRE-COND,2.57,1.69,0.73,0.9766667,0.8999999,0.36,0.04
4840274,10.151,Level_1_PRE-COND,2.57,1.69,0.73,0.98,0.8999999,0.36,0.04
4840535,10.412,Level_1_RAMP_UP,2.57,1.69,0.73,0.98,0.8999999,0.36,0.04
4840785,10.662,Level_1_RAMP_UP,2.57,1.69,0.73,0.98,0.8999999,0.36,0.04
4841048,10.925,Level_1_RAMP_UP,2.57,1.69,0.73,0.98,0.8999999,0.36,0.04
4841301,11.178,Level_1_RAMP_UP,2.57,1.69,0.73,0.98,0.8999999,0.36333334,0.04
4841558,11.435,Level_1_RAMP_UP,2.57,1.69,0.73,0.98,0.8999999,0.36666667,0.04
4841814,11.691,Level_1_RAMP_UP,2.57,1.69,0.73,0.98,0.8999999,0.37,0.04
4842078,11.955,Level_1_RAMP_UP,2.57,1.69,0.73,0.98,0.8999999,0.37,0.04
4842331,12.208,Level_1_RAMP_UP,2.57,1.69,0.73,0.98,0.90333337,0.37,0.04
4842596,12.473,Level_1_RAMP_UP,2.57,1.69,0.73,0.98,0.9066667,0.37,0.04
4842848,12.725,Level_1_RAMP_UP,2.57,1.69,0.73,0.98,0.91,0.37,0.04
4843100,12.977,Level_1_RAMP_UP,2.57,1.69,0.73,0.98,0.91,0.37,0.04
4843578,13.455,Level_1_HOLD,2.57,1.69,0.73,0.98,0.91,0.37333333,0.04
4843843,13.72,Level_1_HOLD,2.57,1.69,0.73,0.98,0.91,0.37666667,0.04
4844103,13.98,Level_1_HOLD,2.57,1.69,0.73,0.98,0.91,0.38,0.04
4844355,14.232,Level_1_HOLD,2.57,1.69,0.73,0.98333335,0.91,0.38,0.04
4844613,14.49,Level_1_HOLD,2.57,1.69,0.73,0.9866667,0.91,0.38,0.04
4844865,14.742,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.38,0.04
4845125,15.002,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.38,0.04
4845383,15.26,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.38,0.04
4845645,15.522,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.38,0.04
4845909,15.786,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.38333333,0.04
4846169,16.046,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.38666666,0.04
4846431,16.308,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4846682,16.559,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4846935,16.812,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4847193,17.07,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4847453,17.33,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4847706,17.583,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4847958,17.835,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4848211,18.088,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4848475,18.352,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4848738,18.615,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4848993,18.87,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4849255,19.132,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4849523,19.4,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4849787,19.664,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4850039,19.916,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4850290,20.167,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4850544,20.421,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4850805,20.682,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39,0.04
4851071,20.948,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39333332,0.04
4851332,21.209,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.39666665,0.04
4851585,21.462,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4851837,21.714,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4852102,21.979,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4852355,22.232,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4852608,22.485,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4852862,22.739,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4853113,22.99,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4853377,23.254,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4853636,23.513,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4853890,23.767,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4854144,24.021,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4854405,24.282,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4854663,24.54,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4854916,24.793,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4855167,25.044,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4855431,25.308,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91333336,0.4,0.04
4855692,25.569,Level_1_HOLD,2.57,1.69,0.73,0.99,0.9166667,0.4,0.04
4855954,25.831,Level_1_HOLD,2.57,1.69,0.73,0.99,0.9166667,0.4,0.04
4856219,26.096,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91333336,0.4,0.04
4856487,26.364,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4856738,26.615,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4856991,26.868,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4857259,27.136,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4857518,27.395,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4857783,27.66,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4858048,27.925,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4858302,28.179,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4858566,28.443,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
4858821,28.698,Level_1_HOLD,2.57,1.69,0.73,0.99,0.91,0.4,0.04
