timestamp,relative_time,sample,co_m,eth_m,voc_m,no2,eth_gm,voc_gm,co_gm
1222964,0.0,Level_1_PRE-COND,2.57,1.69,0.73,0.9633333,0.87999994,0.35666668,0.04
1223215,0.251,Level_1_PRE-COND,2.57,1.69,0.73,0.96333337,0.87999994,0.36,0.04
1223481,0.517,Level_1_PRE-COND,2.57,1.69,0.73,0.96333337,0.87999994,0.36,0.04
1223743,0.779,Level_1_RAMP_UP,2.57,1.69,0.73,0.9633333,0.8833334,0.36333334,0.04
1224004,1.04,Level_1_RAMP_UP,2.57,1.69,0.73,0.9666667,0.8866666,0.36666667,0.04
1224274,1.31,Level_1_RAMP_UP,2.57,1.69,0.73,0.97,0.89000005,0.37,0.04
1224526,1.562,Level_1_RAMP_UP,2.57,1.69,0.73,0.97,0.89000005,0.37,0.04
1224779,1.815,Level_1_RAMP_UP,2.57,1.69,0.73,0.97,0.89000005,0.37,0.04
1225043,2.079,Level_1_RAMP_UP,2.57,1.69,0.73,0.97,0.89000005,0.37,0.04
1225295,2.331,Level_1_RAMP_UP,2.57,1.69,0.73,0.97,0.89000005,0.37,0.04
1225549,2.585,Level_1_RAMP_UP,2.57,1.69,0.73,0.97,0.89000005,0.37333333,0.04
1225820,2.856,Level_1_RAMP_UP,2.57,1.69,0.73,0.97,0.89000005,0.37666667,0.04
1226074,3.11,Level_1_RAMP_UP,2.57,1.69,0.73,0.97,0.89000005,0.38,0.04
1226333,3.369,Level_1_RAMP_UP,2.57,1.69,0.73,0.97,0.89000005,0.38,0.04
1226786,3.822,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89000005,0.38,0.04
1227049,4.085,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89000005,0.38,0.04
1227311,4.347,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89000005,0.38,0.04
1227580,4.616,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89000005,0.38,0.04
1227828,4.864,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89000005,0.38,0.04
1228092,5.128,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89000005,0.38333333,0.04
1228359,5.395,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89000005,0.38666666,0.04
1228618,5.654,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89000005,0.39,0.04
1228871,5.907,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89000005,0.39,0.04
1229132,6.168,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89000005,0.39,0.04
1229394,6.43,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89000005,0.39,0.04
1229646,6.682,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89000005,0.39,0.04
1229899,6.935,Level_1_HOLD,2.57,1.69,0.73,0.97,0.89333326,0.39,0.04
1230151,7.187,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8966667,0.39,0.04
1230411,7.447,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8966667,0.39,0.04
1230663,7.699,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8966667,0.39,0.04
1230917,7.953,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8966667,0.39,0.04
1231181,8.217,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.39333332,0.04
1231432,8.468,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.39666665,0.04
1231695,8.731,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1231954,8.99,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1232212,9.248,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1232462,9.498,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1232718,9.754,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1232971,10.007,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1233227,10.263,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1233487,10.523,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1233741,10.777,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1234003,11.039,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1234257,11.293,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1234510,11.546,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1234769,11.805,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1235030,12.066,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1235293,12.329,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1235539,12.575,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.4,0.04
1235790,12.826,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.40333334,0.04
1236049,13.085,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.40666667,0.04
1236308,13.344,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1236564,13.6,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1236825,13.861,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1237074,14.11,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1237326,14.362,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1237583,14.619,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1237838,14.874,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1238086,15.122,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1238339,15.375,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1238602,15.638,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1238852,15.888,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1239108,16.144,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1239358,16.394,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1239624,16.66,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1239875,16.911,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1240129,17.165,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1240385,17.421,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1240643,17.679,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1240910,17.946,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41,0.04
1241165,18.201,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41333333,0.04
1241418,18.454,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.41666666,0.04
1241684,18.72,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1241939,18.975,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1242193,19.229,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1242456,19.492,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1242713,19.749,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1242976,20.012,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1243226,20.262,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1243478,20.514,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1243743,20.779,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1243996,21.032,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1244256,21.292,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1244511,21.547,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1244771,21.807,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1245034,22.07,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1245294,22.33,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1245557,22.593,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1245812,22.848,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1246064,23.1,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1246330,23.366,Level_1_HOLD,2.57,1.69,0.73,0.97,0.8999999,0.42,0.04
1246877,23.913,Level_1_PURGE,2.5733333,1.6933333,0.73333335,0.97,0.8999999,0.42,0.04
1247140,24.176,Level_1_PURGE,2.573333,1.6933333,0.73333335,0.97,0.8999999,0.42,0.04
1247399,24.435,Level_1_PURGE,2.573333,1.6933333,0.73333335,0.97333336,0.8999999,0.42333332,0.04
1247650,24.686,Level_1_PURGE,2.57,1.69,0.73,0.97333336,0.8999999,0.42666665,0.04
1247905,24.941,Level_1_PURGE,2.57,1.69,0.73,0.9766667,0.8999999,0.42999998,0.04
1248153,25.189,Level_1_PURGE,2.57,1.69,0.73,0.97333336,0.8999999,0.42999998,0.04
1248408,25.444,Level_1_PURGE,2.57,1.69,0.73,0.97333336,0.8999999,0.42999998,0.04
1248671,25.707,Level_1_PURGE,2.57,1.69,0.73,0.97333336,0.8999999,0.42999998,0.04
1248922,25.958,Level_1_PURGE,2.57,1.69,0.73,0.9766667,0.8999999,0.42999998,0.04
1249175,26.211,Level_1_PURGE,2.57,1.69,0.73,0.98,0.8999999,0.42999998,0.04
1249430,26.466,Level_1_PURGE,2.57,1.69,0.73,0.98,0.8999999,0.42999998,0.04
1249681,26.717,Level_1_PURGE,2.57,1.69,0.73,0.98,0.8999999,0.42999998,0.04
1249937,26.973,Level_1_PURGE,2.57,1.69,0.73,0.98,0.8999999,0.42999998,0.04
