timestamp,relative_time,sample,co_m,eth_m,voc_m,no2,eth_gm,voc_gm,co_gm
71827,0.0,Level_1_PRE-COND,2.57,1.69,0.73,0.92,0.69,0.34,0.03
72085,0.258,Level_1_PRE-COND,2.57,1.69,0.73,0.92,0.69,0.34,0.03
72337,0.51,Level_1_PRE-COND,2.57,1.69,0.73,0.92,0.69,0.34,0.03
72594,0.767,Level_1_PRE-COND,2.5733333,1.6933333,0.73333335,0.92,0.69,0.34,0.03
72856,1.029,Level_1_PRE-COND,2.573333,1.6933333,0.73333335,0.92,0.69,0.34,0.03
73123,1.296,Level_1_PRE-COND,2.573333,1.6933333,0.73333335,0.92,0.69,0.34,0.03
73387,1.56,Level_1_RAMP_UP,2.57,1.69,0.73,0.92,0.69,0.34,0.03
73634,1.807,Level_1_RAMP_UP,2.5733333,1.6933333,0.73333335,0.92,0.69,0.34,0.03333333
73891,2.064,Level_1_RAMP_UP,2.573333,1.6933333,0.73333335,0.92,0.69,0.34,0.036666665
74144,2.317,Level_1_RAMP_UP,2.573333,1.6933333,0.73333335,0.92,0.69,0.34333333,0.036666665
74400,2.573,Level_1_RAMP_UP,2.57,1.69,0.73,0.92,0.69,0.34666666,0.033333335
74651,2.824,Level_1_RAMP_UP,2.57,1.69,0.73,0.92,0.69,0.35,0.03
74906,3.079,Level_1_RAMP_UP,2.57,1.69,0.73,0.92,0.69,0.35,0.03
75164,3.337,Level_1_RAMP_UP,2.57,1.69,0.73,0.92,0.69,0.35,0.03333333
75420,3.593,Level_1_RAMP_UP,2.57,1.69,0.73,0.92,0.69,0.35,0.036666665
75670,3.843,Level_1_RAMP_UP,2.57,1.69,0.73,0.92,0.69,0.35,0.04
75924,4.097,Level_1_RAMP_UP,2.57,1.69,0.73,0.92,0.69,0.35,0.036666665
76185,4.358,Level_1_RAMP_UP,2.57,1.69,0.73,0.92,0.69,0.35,0.036666665
76484,4.657,Level_1_HOLD,2.5733333,1.6933333,0.73333335,0.92,0.69,0.35,0.033333335
76748,4.921,Level_1_HOLD,2.573333,1.6933333,0.73333335,0.92,0.69,0.35,0.033333335
