timestamp,relative_time,sample,co_m,eth_m,voc_m,no2,eth_gm,voc_gm,co_gm
2782244,0.0,Level_6_DONE,2.57,1.69,0.73,0.8500001,0.99,0.17,0.03
2782494,0.25,Level_6_DONE,2.57,1.69,0.73,0.8500001,0.99,0.17,0.03
2782756,0.512,Level_6_DONE,2.57,1.69,0.73,0.8500001,0.99,0.17,0.03
2817268,35.024,Level_1_RAMP_UP,2.63,1.75,0.75,0.87,0.99,0.19,0.03
2817521,35.277,Level_1_RAMP_UP,2.6,1.72,0.74,0.87,0.99,0.19,0.03
2817775,35.531,Level_1_RAMP_UP,2.59,1.71,0.7366667,0.87000006,0.99,0.19,0.03
2818033,35.789,Level_1_RAMP_UP,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2818287,36.043,Level_1_RAMP_UP,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2818553,36.309,Level_1_RAMP_UP,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2818815,36.571,Level_1_RAMP_UP,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2819068,36.824,Level_1_RAMP_UP,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2819337,37.093,Level_1_RAMP_UP,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2819593,37.349,Level_1_RAMP_UP,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2819855,37.611,Level_1_RAMP_UP,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2820155,37.911,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2820421,38.177,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2820670,38.426,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2820929,38.685,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2821193,38.949,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2821453,39.209,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2821701,39.457,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2821952,39.708,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2822204,39.96,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2822469,40.225,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2822732,40.488,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2822979,40.735,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2823244,41.0,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2823496,41.252,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2823759,41.515,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2824012,41.768,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2824262,42.018,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2824517,42.273,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2824771,42.527,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2825032,42.788,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
2825288,43.044,Level_1_HOLD,2.57,1.69,0.73,0.87000006,0.99,0.19,0.03
